PLT_PARAMETERID,PLT_INFOTYPE
TY_0004_00_143,1
PP_0001_00_16786220,1
PP_0001_00_16794309,3
PP_0001_00_16786255,1
PP_0001_00_16816329,3
PP_0001_00_16817895,3
PP_0001_00_16822067,3
PP_0001_00_16817528,3
PP_0001_00_16817645,3
PP_0001_00_16781822,3
J_0001_00_588,7
J_0001_00_233,7
J_0001_00_237,7
J_0001_00_3344,3
STMP_0002_11FFEF_01,1
TY_0004_00_115,1
TY_0004_00_113,1
TY_0004_00_114,1
TY_0004_00_129,1
TY_0004_00_130,1
TY_0004_00_131,1
TY_0004_00_132,1
TY_0004_00_133,1
TY_0004_00_135,1
TY_0004_00_144,1
TY_0004_00_145,1
TY_0004_00_146,1
TY_0004_00_147,1
TY_0004_00_148,1
TY_0004_00_149,1
TY_0004_00_150,1
TY_0004_00_151,1
TY_0004_00_152,1
TY_0004_00_153,1
TY_0004_00_154,1
TY_0004_00_155,1
TY_0004_00_156,1
TY_0004_00_157,1
TY_0004_00_158,1
TY_0004_00_159,1
J_0002_D1_6,3
TY_0004_00_160,1
STMP_0002_F00203_01,1
J_0001_00_5371,1
DR_0001_00_175,3
DR_0001_00_100,3
DR_0002_21_3,1
DR_0002_21_4,3
DR_0002_21_5,3
DR_0002_21_6,3
DR_0002_21_7,3
DR_0002_21_8,3
DR_0002_21_9,3
DR_0002_21_10,3
STMP_0002_F00300_01,1
STMP_0002_FEBD00_01,1
STMP_0002_F00400_01,1
DR_0002_21_11,3
STMP_0002_F00503_01,1
STMP_0002_FEC100_01,1
STMP_0002_F00E51_01,1
DR_0002_21_12,3
STMP_0002_F00F52_01,1
STMP_0002_FEC1EE_01,1
DR_0002_21_13,3
STMP_0002_FD7CEF_01,1
STMP_0002_FEDB00_01,1
STMP_0002_FDCB00_01,1
STMP_0002_FEDC00_01,1
STMP_0002_FE6CEE_01,1
STMP_0002_FEDF00_01,1
STMP_0002_FEE000_01,1
J_0001_00_4360,3
J_0001_00_4363,3
J_0001_00_3468,3
J_0001_00_3031,3
J_0001_3D_3031,3
J_0001_00_441,3
J_0001_00_442,3
J_0001_00_110,3
J_0001_00_174,3
J_0001_00_175,3
J_0001_00_176,3
J_0001_00_52,3
J_0001_4E_110,3
J_0001_4E_174,3
J_0001_4E_175,3
J_0001_4E_176,3
J_0001_4E_52,3
J_0001_00_101,3
J_0001_4E_101,3
J_0001_00_90,3
J_0002_00_7,3
J_0002_00_8,3
J_0002_00_14,3
J_0002_9F_26,3
J_0002_9F_27,3
J_0002_9F_28,3
J_0002_9F_29,3
J_0002_00_34,3
J_0002_F0_39,3
J_0002_F0_40,3
J_0002_F0_41,3
J_0002_F0_42,3
J_0002_F0_43,3
J_0001_00_1433,3
J_0001_00_1434,3
J_0001_00_1435,3
J_0001_00_1436,3
J_0001_00_514,3
J_0001_00_2978,3
PP_0001_00_16786238,3
DR_0002_21_19,3
DR_0002_21_22,1
GY_0001_01_001,1
J_0001_01_002,3
DR_0002_21_23,1
DR_0002_21_24,3
DR_0002_17_1,3
DR_0002_21_25,3
DR_0002_8D_1,1
DR_0002_8D_2,1
DR_0002_8D_3,1
TY_0000_01_01,1
DR_0002_8D_4,1
STMP_0000_GYZMB_01,1
PP_0001_00_16824469,3
PP_0001_00_16824596,1
PP_0001_00_16789504,7
PP_0001_00_16789506,3
PP_0001_00_16782467,3
PP_0001_00_16782472,1
TY_0002_00_47,7
TY_0002_00_48,7
TY_0002_00_49,7
TY_0002_00_51,7
TY_0002_00_52,1
TY_0002_00_53,1
TY_0002_00_54,1
TY_0002_00_55,1
TY_0002_00_56,1
TY_0002_00_57,1
TY_0002_00_58,1
DR_0002_8D_5,1
PP_0001_00_16781531,1
PP_0001_00_16786763,3
PP_0001_00_16791099,3
PP_0001_00_16791093,3
PP_0001_00_16782748,3
PP_0001_00_16786618,1
PP_0001_00_16786651,1
PP_0001_00_16781764,1
PP_0001_00_16781763,1
PP_0001_00_16785853,1
PP_0001_00_16786069,1
PP_0001_00_16782208,1
PP_0001_00_16785851,1
PP_0001_00_16823545,1
PP_0001_00_16786638,1
PP_0001_00_16781707,3
PP_0001_00_16784056,3
PP_0001_00_16789243,3
PP_0001_00_16789241,3
PP_0001_00_16788444,1
PP_0001_00_16777244,3
DR_0002_8D_6,1
DR_0002_8D_7,1
DR_0002_8D_8,1
DR_0002_8D_9,1
DR_0002_21_26,3
STMP_0003_0EFFF21F425_01,1
TC_0001_00_1,7
DR_0001_00_65226,7
DR_0001_00_70001,3
DR_0002_21_27,3
PP_0001_00_16793683,1
PP_0001_00_16789401,3
PP_0001_00_16784911,1
PP_0001_00_16786241,7
PP_0001_00_16786242,7
PP_0001_00_16786236,3
PP_0001_00_16786323,3
PP_0001_00_16786234,7
PP_0001_00_16789236,3
PP_0001_00_16789235,3
PP_0001_00_16786717,3
PP_0001_00_16789283,3
PP_0001_00_16790557,3
PP_0001_00_16789280,3
PP_0001_00_16824034,3
PP_0001_00_16789279,3
PP_0001_00_16786718,3
TY_0004_00_85,1
TY_0002_00_1,1
TY_0002_00_2,3
J_0001_03_4250,1
PP_0001_00_16782259,3
PP_0001_00_16784897,1
PP_0001_00_16812493,1
PP_0001_00_16790920,3
PP_0001_00_16781874,1
PP_0001_00_16791186,3
TY_0002_00_117,1
TY_0002_00_118,1
TY_0002_00_119,1
PP_0001_00_16791187,1
PP_0001_00_16824385,1
PP_0001_00_16785843,3
PP_0001_00_16789664,3
PP_0001_00_16790569,3
PP_0001_00_16781881,3
PP_0001_00_16784707,3
PP_0001_00_16785187,1
PP_0001_00_16781674,1
PP_0001_00_16786636,1
PP_0001_00_16792414,3
PP_0001_00_16781539,1
PP_0001_00_16784547,1
PP_0001_00_16791181,1
PP_0001_00_16823828,1
TY_0002_00_3,3
TY_0002_00_8,7
TY_0002_00_9,1
TY_0002_00_10,1
TY_0002_00_11,1
TY_0002_00_12,1
TY_0002_00_13,1
TY_0002_00_14,1
STMP_0002_FEE500_01,1
J_0001_00_3807,1
DR_0001_00_91,3
TY_0001_00_1,1
TY_0001_00_2,1
DR_0001_00_92,3
DR_0001_00_29,3
TY_0001_00_3,1
DR_0001_00_513,3
DR_0001_00_190,3
DR_0001_00_1636,3
DR_0001_00_1637,3
DR_0001_00_2630,3
DR_0001_00_250,3
DR_0001_00_94,3
DR_0001_00_101,3
DR_0001_00_111,3
DR_0001_00_183,3
DR_0001_00_108,3
DR_0001_00_172,3
DR_0001_00_102,3
DR_0001_00_105,3
PP_0001_00_16823954,1
PP_0001_00_16788754,3
PP_0001_00_16812726,1
PP_0001_00_16784909,1
PP_0001_00_16784910,1
PP_0001_00_16823833,3
PP_0001_00_16786248,3
PP_0001_00_16786239,3
PP_0001_00_16786233,7
PP_0001_00_16786249,3
PP_0001_00_16789388,1
DR_0001_00_158,3
STMP_0002_FEE700_01,1
DR_0002_21_1,1
PP_0001_00_16794307,3
PP_0001_00_16789178,3
PP_0001_00_16777243,3
PP_0001_00_16786073,3
PP_0001_00_16786237,3
PP_0001_00_16786240,3
PP_0001_00_16781737,1
PP_0001_00_16791185,1
PP_0001_00_16791183,1
PP_0001_00_16791331,1
PP_0001_00_16785832,3
PP_0001_00_16786101,1
PP_0001_00_16781449,1
PP_0001_00_16786295,3
PP_0001_00_16785844,3
PP_0001_00_16787872,1
PP_0001_00_16801893,1
PP_0001_00_16820126,1
PP_0001_00_16789207,1
PP_0001_00_16781653,1
PP_0001_00_16792425,3
PP_0001_00_16791192,1
PP_0001_00_16791180,1
PP_0001_00_16783711,3
PP_0001_00_16789242,3
PP_0001_00_16786712,3
PP_0001_00_16789289,3
PP_0001_00_16789287,3
PP_0001_00_16817893,3
PP_0001_00_16789357,1
PP_0001_00_16786235,7
PP_0001_00_16791107,3
PP_0001_00_16789294,3
PP_0001_00_16782473,1
PP_0001_00_16782471,1
PP_0001_00_16818080,1
PP_0001_00_16804686,3
PP_0001_00_16786634,1
PP_0001_00_16791146,3
PP_0001_00_16791005,3
PP_0001_00_16789176,1
